Freq (MHz),re(S11),im(S11),re(Z),im(Z)
24.550,0.88349,0.36381,29.838,249.297
24.600,0.88171,0.36127,31.854,250.001
24.650,0.88098,0.36042,32.614,250.169
24.700,0.88328,0.36050,31.286,251.073
24.750,0.88424,0.35885,31.424,252.403
24.800,0.88385,0.35733,32.276,253.108
24.850,0.88227,0.35587,33.793,253.278
24.900,0.88225,0.35663,33.481,252.836
24.950,0.88469,0.35568,32.478,254.412
25.000,0.88450,0.35519,32.792,254.617
25.050,0.88404,0.35234,34.280,256.083
25.100,0.88260,0.35164,35.427,255.861
25.150,0.88562,0.35013,34.304,258.067
25.200,0.88750,0.34989,33.286,259.026
25.250,0.88532,0.34794,35.445,259.247
25.300,0.88548,0.34711,35.720,259.816
25.350,0.88518,0.34669,36.088,259.933
25.400,0.88817,0.34629,34.451,261.502
25.450,0.88908,0.34529,34.332,262.516
25.500,0.88817,0.34340,35.742,263.285
25.550,0.88481,0.34196,38.470,262.632
25.600,0.88884,0.34245,35.753,264.174
25.650,0.89017,0.34038,35.859,266.085
25.700,0.88946,0.34070,36.159,265.562
25.750,0.88798,0.33933,37.725,265.735
25.800,0.88722,0.33986,37.951,265.051
25.850,0.88916,0.33754,37.818,267.424
25.900,0.89206,0.33588,36.722,269.861
25.950,0.88991,0.33602,38.053,268.753
26.000,0.88857,0.33475,39.522,268.930
26.050,0.88992,0.33439,38.821,269.813
26.100,0.89262,0.33297,37.725,272.036
26.150,0.89250,0.33102,38.749,273.277
26.200,0.89091,0.33192,39.365,271.911
26.250,0.89052,0.33094,40.097,272.363
26.300,0.89296,0.32830,39.769,275.334
26.350,0.89415,0.32796,39.130,276.152
26.400,0.89368,0.32778,39.535,276.038
26.450,0.89137,0.32790,41.041,274.815
26.500,0.89237,0.32692,40.858,275.969
26.550,0.89520,0.32481,39.973,278.846
26.600,0.89633,0.32352,39.822,280.318
26.650,0.89598,0.32274,40.469,280.687
26.700,0.89349,0.32296,42.095,279.264
26.750,0.89552,0.32198,41.183,280.990
26.800,0.89844,0.31922,40.506,284.467
26.850,0.89690,0.31794,42.289,284.595
26.900,0.89514,0.31889,43.057,282.992
26.950,0.89668,0.31892,41.932,283.776
27.000,0.89766,0.31673,42.376,285.880
27.050,0.89979,0.31415,42.165,288.923
27.100,0.89822,0.31533,42.702,287.211
27.150,0.89736,0.31621,42.867,286.103
27.200,0.89992,0.31298,42.688,289.873
27.250,0.90064,0.31090,43.266,291.837
27.300,0.90062,0.31057,43.460,292.081
27.350,0.89968,0.31082,44.040,291.375
27.400,0.89912,0.31307,43.244,289.373
27.450,0.90029,0.30881,44.682,293.253
27.500,0.90172,0.30681,44.690,295.603
27.550,0.90228,0.30623,44.574,296.376
27.600,0.90208,0.30588,44.931,296.533
27.650,0.90161,0.30688,44.736,295.488
27.700,0.90272,0.30397,45.507,298.418
27.750,0.90459,0.30169,45.296,301.324
27.800,0.90416,0.30256,45.149,300.375
27.850,0.90352,0.30296,45.430,299.683
27.900,0.90550,0.30161,44.595,301.911
27.950,0.90557,0.29884,46.143,304.250
28.000,0.90607,0.29808,46.160,305.176
28.050,0.90595,0.29811,46.256,305.082
28.100,0.90632,0.29872,45.582,304.791
28.150,0.90702,0.29614,46.506,307.377
